34,84,0,0
34,85,0,0
33,85,0,0
33,85,0,0
34,85,0,0
34,86,0,0
34,86,0,0
34,87,0,0
36,89,0,0
36,89,0,0
36,87,0,0
35,86,0,0
33,84,0,0
33,82,0,0
32,81,0,0
31,81,0,0
31,81,0,0
31,82,0,0
32,86,0,0
33,90,0,0
35,92,0,0
37,96,0,0
37,97,0,0
37,98,0,0
35,100,0,0
35,101,0,0
34,101,0,0
35,101,0,0
33,102,0,0
30,101,0,0
28,99,0,0
25,98,0,0
24,97,0,0
20,91,0,0
17,88,0,0
14,80,0,0
13,74,0,0
10,70,0,0
0,61,0,0
4,56,0,0
1,43,0,0
0,26,0,0
0,11,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,1,0,0
0,13,0,0
0,23,0,0
0,46,0,0
0,56,0,0
0,70,0,0
0,77,0,0
0,0,0,0
39,0,0,0
41,0,0,0
41,0,0,0
43,0,0,0
45,0,0,0
46,0,0,0
48,0,0,0
49,0,0,0
52,0,0,0
55,0,0,0
56,0,0,0
59,0,0,0
60,0,0,0
62,0,0,0
63,0,0,0
63,0,0,0
63,0,0,0
62,113,0,0
59,0,0,0
58,0,0,0
57,0,0,0
55,0,0,0
54,0,0,0
52,0,0,0
47,0,0,0
40,0,0,0
29,77,0,0
23,74,0,0
21,71,0,0
20,68,0,0
20,66,0,0
20,68,0,0
23,71,0,0
29,73,0,0
31,74,0,0
33,75,1,0
40,79,1,0
44,84,2,0
48,88,3,0
50,90,3,0
53,93,4,0
53,85,4,0
54,88,4,0
53,0,3,0
54,0,4,0
54,0,4,0
55,0,4,0
56,0,3,0
56,0,2,0
55,0,2,0
54,0,2,0
53,0,2,0
51,0,1,0
47,0,1,0
43,0,0,0
35,0,0,0
23,0,0,0
16,0,0,0
11,71,0,0
0,61,0,0
0,48,0,0
0,32,0,0
0,13,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,5,0,0
0,20,0,0
0,32,0,0
0,47,0,0
0,56,0,0
0,60,0,0
0,66,0,0
0,70,0,0
0,77,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
49,0,1,0
54,0,1,0
59,0,0,0
59,0,1,0
61,0,2,0
61,0,2,0
62,0,3,0
61,0,3,0
61,0,3,0
61,0,4,0
60,0,3,0
61,0,3,0
60,0,2,0
58,0,2,0
57,0,2,0
54,0,2,0
52,0,1,0
51,0,1,0
51,0,2,0
47,76,2,0
44,73,2,0
40,69,2,0
0,65,2,0
0,61,3,0
0,54,2,0
23,50,3,0
0,46,3,0
0,43,4,0
0,39,3,0
0,39,3,0
0,38,2,0
0,34,1,0
0,32,1,0
0,32,0,0
0,31,0,0
0,29,0,0
0,26,0,0
0,25,0,0
0,24,0,0
0,20,0,0
0,18,0,0
0,19,0,0
0,22,0,0
0,22,0,0
0,21,0,0
0,21,0,0
0,22,0,0
0,24,0,0
0,21,0,0
0,19,0,0
0,17,0,0
0,14,0,0
0,9,0,0
0,8,0,0
0,8,0,0
0,9,0,0
0,8,0,0
0,9,0,0
0,8,0,0
0,8,0,0
0,8,0,0
0,8,0,0
0,8,0,0
0,7,0,0
0,6,0,0
0,6,0,0
0,7,0,0
0,7,0,0
